symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
COTI,SELL,LIMIT,IOC,5944,0.14704,0.14905,FILLED,548,5944,1732323141133,874.00576
HBAR,BUY,LIMIT,IOC,1696,0.15650,0.15516,FILLED,1696,1696,1732323145288,265.424
ADA,BUY,LIMIT,IOC,102,1.14583,1.14220,FILLED,102,102,1732323145288,116.87465999999999
ENA,BUY,LIMIT,IOC,200,0.6202768,0.6142000,FILLED,200,200,1732323145288,124.05536
BOME,SELL,LIMIT,IOC,16256,0.0095121,0.0096080,FILLED,16256,16256,1732323145288,154.6286976
TURBO,BUY,LIMIT,IOC,38818,0.0078822,0.0078073,FILLED,10502,38818,1732323148189,305.97123960000005
LQTY,BUY,LIMIT,IOC,388.0,1.236832,1.213734,FILLED,276.1,388.0,1732323148477,479.890816
1MBABYDOGE,BUY,LIMIT,IOC,258552,0.0023270,0.0023055,FILLED,5586,258552,1732323148477,601.6505040000001
CETUS,BUY,LIMIT,IOC,1142,0.3255975,0.3224230,FILLED,32,1142,1732323148477,371.832345
SCRT,BUY,LIMIT,IOC,220,0.5119672,0.5094000,FILLED,220,220,1732323149235,112.63278399999999
LTC,BUY,LIMIT,IOC,50.000,94.70,94.26,FILLED,0.683,50.000,1732323151683,4735.0
LTC,BUY,LIMIT,IOC,15.000,94.71,94.27,FILLED,7.952,15.000,1732323153221,1420.6499999999999
SOL,BUY,LIMIT,IOC,28,257.0846,255.8735,FILLED,3,28,1732323154330,7198.3688
LINK,BUY,LIMIT,IOC,159.90,17.059,16.983,FILLED,6.72,159.90,1732323154330,2727.7341
INJ,BUY,LIMIT,IOC,85.9,27.838547,27.564612,FILLED,8.3,85.9,1732323154330,2391.3311873000002
BNB,BUY,LIMIT,IOC,7.96,640.846,637.830,FILLED,2.75,7.96,1732323154330,5101.13416
ENS,BUY,LIMIT,IOC,108.6,20.300,20.105,FILLED,7.4,108.6,1732323154330,2204.58
PNUT,SELL,LIMIT,IOC,1818,1.0855535,1.0963612,FILLED,177,1818,1732323157043,1973.5362630000002
COTI,SELL,LIMIT,IOC,317,0.14628,0.14818,FILLED,317,317,1732323158435,46.37076
ADA,SELL,LIMIT,IOC,276,1.13012,1.13407,FILLED,41,276,1732323160040,311.91312
COTI,SELL,LIMIT,IOC,264,0.14613,0.14780,FILLED,153,264,1732323160507,38.578320000000005
ADA,SELL,LIMIT,IOC,1698,1.12967,1.13435,FILLED,789,1698,1732323161331,1918.17966
ETC,BUY,LIMIT,IOC,10.00,29.940,29.819,FILLED,10.00,10.00,1732323163353,299.40000000000003
TIA,BUY,LIMIT,IOC,2380,5.9173614,5.8533039,FILLED,61,2380,1732323165066,14083.320131999999
BRETT,SELL,LIMIT,IOC,56,0.1606987,0.1620000,FILLED,56,56,1732323165241,8.9991272
ZIL,BUY,LIMIT,IOC,5537,0.02271,0.02238,FILLED,126,5537,1732323167129,125.74527
ONT,BUY,LIMIT,IOC,62.6,0.2523,0.2488,FILLED,62.6,62.6,1732323167594,15.793980000000001
1MBABYDOGE,BUY,LIMIT,IOC,68711,0.0023312,0.0023093,FILLED,61564,68711,1732323170678,160.17908319999998
ICP,BUY,LIMIT,IOC,529,11.968847,11.866236,FILLED,25,529,1732323172627,6331.520063
TIA,BUY,LIMIT,IOC,698,5.9220636,5.8771901,FILLED,3,698,1732323174368,4133.6003928
PNUT,SELL,LIMIT,IOC,9021,1.0839711,1.0945369,FILLED,1296,9021,1732323175045,9778.5032931
ICP,BUY,LIMIT,IOC,162,11.980193,11.872320,FILLED,25,162,1732323175213,1940.791266
ETC,BUY,LIMIT,IOC,2.28,29.978,29.852,FILLED,2.28,2.28,1732323176233,68.34984
TURBO,BUY,LIMIT,IOC,405978,0.0078844,0.0078091,FILLED,109494,405978,1732323177234,3200.8929432
BLUR,BUY,LIMIT,IOC,4530,0.2785073,0.2743946,FILLED,419,4530,1732323178236,1261.638069
TIA,BUY,LIMIT,IOC,3,5.9260136,5.8731000,FILLED,3,3,1732323178370,17.7780408
BNB,BUY,LIMIT,IOC,0.02,640.630,637.370,FILLED,0.02,0.02,1732323178370,12.8126
CATI,BUY,LIMIT,IOC,13,0.5605846,0.5552000,FILLED,13,13,1732323178370,7.2875998
ARK,BUY,LIMIT,IOC,23,0.6055831,0.5996000,FILLED,23,23,1732323178370,13.9284113
BRETT,BUY,LIMIT,IOC,144,0.1651501,0.1621900,FILLED,144,144,1732323183147,23.7816144
BAN,SELL,LIMIT,IOC,5000,0.1378495,0.1388000,FILLED,627,5000,1732323184078,689.2475000000001
ONT,BUY,LIMIT,IOC,435.4,0.2527,0.2492,FILLED,169.4,435.4,1732323187234,110.02557999999999
SAGA,BUY,LIMIT,IOC,32.2,1.9659772,1.9473000,FILLED,32.2,32.2,1732323187696,63.304465840000006
ICP,BUY,LIMIT,IOC,9,11.984239,11.882000,FILLED,1,9,1732323191475,107.858151
ACT,SELL,LIMIT,IOC,388,0.4400275,0.4445300,FILLED,177,388,1732323192269,170.73067
PNUT,BUY,LIMIT,IOC,696,1.1108918,1.1019972,FILLED,5,696,1732323196518,773.1806928000001
PNUT,BUY,LIMIT,IOC,4548,1.1125349,1.1027671,FILLED,77,4548,1732323198357,5059.8087252
PNUT,BUY,LIMIT,IOC,832,1.1128252,1.1034630,FILLED,37,832,1732323200297,925.8705664
ONDO,BUY,LIMIT,IOC,2851.6,1.0612093,1.0509217,FILLED,731.4,2851.6,1732323201494,3026.14443988
SCRT,BUY,LIMIT,IOC,560,0.5152119,0.5104635,FILLED,15,560,1732323216260,288.51866399999994
ICP,BUY,LIMIT,IOC,5,12.000151,11.877000,FILLED,5,5,1732323220300,60.000755000000005
SCRT,BUY,LIMIT,IOC,699,0.5159766,0.5118000,FILLED,106,699,1732323223297,360.66764340000003
ICP,BUY,LIMIT,IOC,5,12.008966,11.898000,FILLED,5,5,1732323223310,60.04483
BB,SELL,LIMIT,IOC,180,0.3078529,0.3123000,FILLED,74,180,1732323228098,55.413522
1000SATS,SELL,LIMIT,IOC,226220,0.0002459,0.0002482,FILLED,205709,226220,1732323228098,55.627498
MKR,BUY,LIMIT,IOC,0.018,1663.33,1653.40,FILLED,0.018,0.018,1732323228098,29.939939999999996
1000CAT,SELL,LIMIT,IOC,1854,0.0443757,0.0448000,FILLED,1854,1854,1732323228098,82.2725478
TAO,SELL,LIMIT,IOC,0.112,515.44,520.59,FILLED,0.091,0.112,1732323228098,57.72928000000001
1000SHIB,SELL,LIMIT,IOC,2312,0.025129,0.025289,FILLED,1147,2312,1732323228098,58.098248
PHB,SELL,LIMIT,IOC,32,1.7685491,1.8037000,FILLED,32,32,1732323228098,56.5935712
DIA,SELL,LIMIT,IOC,62,0.7398351,0.7464758,FILLED,15,62,1732323228098,45.8697762
1000RATS,SELL,LIMIT,IOC,833,0.0998806,0.1007140,FILLED,332,833,1732323228098,83.2005398
PENDLE,SELL,LIMIT,IOC,5,5.1331017,5.1841000,FILLED,5,5,1732323228098,25.6655085
LISTA,SELL,LIMIT,IOC,61,0.3833436,0.3891000,FILLED,61,61,1732323228098,23.3839596
RUNE,SELL,LIMIT,IOC,8,5.4653,5.5190,FILLED,8,8,1732323228098,43.7224
OMNI,SELL,LIMIT,IOC,2.82,8.2692,8.3926,FILLED,0.85,2.82,1732323228098,23.319143999999998
PEOPLE,SELL,LIMIT,IOC,379,0.06206,0.06265,FILLED,379,379,1732323228098,23.52074
SUN,SELL,LIMIT,IOC,1502,0.0216670,0.0218715,FILLED,748,1502,1732323228098,32.543834
HIGH,SELL,LIMIT,IOC,33.6,1.433556,1.461333,FILLED,22.3,33.6,1732323228098,48.1674816
1MBABYDOGE,SELL,LIMIT,IOC,10325,0.0022871,0.0023100,FILLED,10325,10325,1732323228098,23.6143075
TON,SELL,LIMIT,IOC,4.4,5.4616123,5.5150000,FILLED,4.4,4.4,1732323228098,24.03109412
LEVER,SELL,LIMIT,IOC,16378,0.0020016,0.0020406,FILLED,8294,16378,1732323228098,32.7822048
CKB,SELL,LIMIT,IOC,2338,0.0134137,0.0135460,FILLED,2338,2338,1732323228098,31.361230600000003
RARE,SELL,LIMIT,IOC,200,0.1223846,0.1235367,FILLED,66,200,1732323228098,24.47692
ZEC,SELL,LIMIT,IOC,0.717,46.53,47.20,FILLED,0.239,0.717,1732323228098,33.36201
LPT,SELL,LIMIT,IOC,2.2,11.112,11.278,FILLED,2.2,2.2,1732323228098,24.4464
BAKE,SELL,LIMIT,IOC,122,0.2618,0.2654,FILLED,122,122,1732323228098,31.9396
ICP,BUY,LIMIT,IOC,20,12.010884,11.897000,FILLED,20,20,1732323231253,240.21768000000003
HBAR,BUY,LIMIT,IOC,26328,0.15686,0.15558,FILLED,152,26328,1732323232051,4129.81008
ICP,BUY,LIMIT,IOC,221,12.035280,11.944583,FILLED,40,221,1732323232328,2659.79688
KSM,SELL,LIMIT,IOC,117.3,41.193,41.743,FILLED,1.4,117.3,1732390211196,4831.938899999999
BTC,SELL,LIMIT,IOC,0.010,97206.73,97573.60,FILLED,0.010,0.010,1732390211944,972.0672999999999
POL,SELL,LIMIT,IOC,741,0.5765764,0.5822794,FILLED,19,741,1732390212543,427.2431124
